index,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2012-01-23,163.16000366210938,0.006725466086455523,1678.0,0.008595329234729165,-0.0018698631482736428,0.0018698631482736428,0.008392469920258695,0.008638009755824414,0,0,0.0,10,13.1437224444378,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008638009755824414,0.0,0.0,0.0,0,0.0
2012-01-24,162.00999450683594,-0.007048352105060052,1664.199951171875,-0.00822410538028906,0.0011757532752290079,0.0011757532752290079,0.008532380683822194,0.00881675925552614,1,0,0.0,10,11.98573779853632,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00881675925552614,0.0,0.0,0.0,0,0.0
2012-01-25,166.4199981689453,0.02722056546902296,1699.800048828125,0.021391718964528073,0.005828846504494889,0.005828846504494889,0.009756614007410232,0.009546828921044612,1,0,0.0,10,8.02677087255366,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009756614007410232,0.0,0.0,0.0,0,0.0
2012-01-26,167.27000427246094,0.005107595919167762,1726.300048828125,0.015590068972094473,-0.01048247305292671,0.01048247305292671,0.009540684498034153,0.009720300883171768,0,1,1.0,10,31.501390188613,316.0,-10.0,-52857.321350097656,17263.00048828125,0.0,0.0,Opened,-52857.321350097656,17263.00048828125,0.0,0.009720300883171768,70120.3218383789,0.0,0.0,0,0.0
2012-01-27,168.97000122070312,0.010163190678665446,1731.800048828125,0.00318600465992791,0.006977186018737536,0.006977186018737536,0.008074708848737552,0.008757280232901257,1,0,-1.0,10,3.2129537445920393,-316.0,10.0,53394.52038574219,-17318.00048828125,537.1990356445312,-55.0,Closed,53394.52038574219,-17318.00048828125,482.19903564453125,0.008757280232901257,70712.52087402344,482.19903564453125,0.0068191464493761135,0,482.19903564453125
2012-01-28,168.97000122070312,0.0,1731.800048828125,0.0,0.0,0.0,0.007954012568102442,0.008090624877554424,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008090624877554424,0.0,0.0,0.0,0,0.0
2012-01-29,168.97000122070312,0.0,1731.800048828125,0.0,0.0,0.0,0.007870853740327905,0.0077436792349081214,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007870853740327905,0.0,0.0,0.0,0,0.0
2012-01-30,168.02999877929688,-0.0055631321217690655,1731.0,-0.00046197528904468044,-0.005101156832724385,0.005101156832724385,0.008021852671775192,0.007751115500045338,0,0,0.0,10,0.8554795161955422,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008021852671775192,0.0,0.0,0.0,0,0.0
2012-01-31,169.30999755859375,0.0076176801082890044,1737.800048828125,0.003928393314919232,0.0036892867933697726,0.0036892867933697726,0.008031711610340957,0.0077252228340167865,1,0,0.0,10,5.293091891837796,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008031711610340957,0.0,0.0,0.0,0,0.0
2012-02-01,169.55999755859375,0.001476581439991298,1747.0999755859375,0.00535155167252066,-0.0038749702325293622,0.0038749702325293622,0.008013173604138947,0.007703162564362583,0,0,0.0,10,37.34364225657445,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008013173604138947,0.0,0.0,0.0,0,0.0
