index,AMD_Close,AMD_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,AMD_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,AMD_Size,NVDA_Size,AMD_Cashflow,NVDA_Cashflow,AMD_MTM,NVDA_MTM,Live Trades,AMD_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2015-12-24,2.9200000762939453,0.031802174916679915,0.809248685836792,0.003327319156231745,0.02847485576044817,0.02847485576044817,0.033191214604868194,0.020533601247435296,1,1,0.0,10,0.028995912361097803,1.0,-10.0,-2.9200000762939453,8.09248685836792,-0.15000009536743164,0.05855262279510498,Live,0.0,0.0,0.0,0.033191214604868194,11.012486934661865,-0.09144747257232666,-0.00830398011955821,0,0.0,0.0
2015-12-25,2.9200000762939453,0.0,0.809248685836792,0.0,0.0,0.0,0.033191214604868194,0.020533601247435296,1,1,0.0,10,,1.0,-10.0,-2.9200000762939453,8.09248685836792,-0.15000009536743164,0.05855262279510498,Live,0.0,0.0,0.0,0.033191214604868194,11.012486934661865,-0.09144747257232666,-0.00830398011955821,0,0.0,0.0
2015-12-26,2.9200000762939453,0.0,0.809248685836792,0.0,0.0,0.0,0.032942775315247315,0.020387595846644794,1,1,0.0,10,,1.0,-10.0,-2.9200000762939453,8.09248685836792,-0.15000009536743164,0.05855262279510498,Live,0.0,0.0,0.0,0.032942775315247315,11.012486934661865,-0.09144747257232666,-0.00830398011955821,0,0.0,0.0
2015-12-27,2.9200000762939453,0.0,0.809248685836792,0.0,0.0,0.0,0.03289437873850491,0.020387149590658286,1,1,0.0,10,,1.0,-10.0,-2.9200000762939453,8.09248685836792,-0.15000009536743164,0.05855262279510498,Live,0.0,0.0,0.0,0.03289437873850491,11.012486934661865,-0.09144747257232666,-0.00830398011955821,0,0.0,0.0
2015-12-28,3.0,0.0273972334300725,0.8085165619850159,-0.0009046957561865687,0.028301929186259067,0.028301929186259067,0.03294673840436092,0.0203712948254464,1,1,0.0,10,0.008899456999327432,1.0,-10.0,-3.0,8.085165619850159,-0.23000001907348633,0.05123138427734375,Live,0.0,0.0,0.0,0.03294673840436092,11.085165619850159,-0.17876863479614258,-0.016126834810300205,0,0.0,0.0
2015-12-29,3.0,0.0,0.8216912746429443,0.016294919952638764,-0.016294919952638764,0.016294919952638764,0.032783552685568935,0.020395024000780245,0,0,-1.0,10,inf,1.0,-10.0,-3.0,8.216912746429443,-0.23000001907348633,0.18297851085662842,Closed,-3.0,8.216912746429443,-0.04702150821685791,0.032783552685568935,11.216912746429443,-0.04702150821685791,-0.004192018720286983,0,-0.04702150821685791,0.0
2015-12-30,2.9800000190734863,-0.006666660308837891,0.8146161437034607,-0.008610449152643196,0.0019437888438053053,0.0019437888438053053,0.03278900052755827,0.020412253607251504,1,0,0.0,10,0.35306464070464383,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03278900052755827,0.0,0.0,0.0,0,0.0,0.0
2015-12-31,2.869999885559082,-0.03691279624508337,0.8041253685951233,-0.012878182183627684,-0.024034614061455684,0.024034614061455684,0.0329132775326861,0.02044529602919763,0,0,0.0,10,0.09775061608230154,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0329132775326861,0.0,0.0,0.0,0,0.0,0.0
2016-01-01,2.869999885559082,0.0,0.8041253685951233,0.0,0.0,0.0,0.0329132775326861,0.02044529602919763,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0329132775326861,0.0,0.0,0.0,0,0.0,0.0
2016-01-02,2.869999885559082,0.0,0.8041253685951233,0.0,0.0,0.0,0.03286025102144364,0.0204149546123321,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03286025102144364,0.0,0.0,0.0,0,0.0,0.0
2016-01-03,2.869999885559082,0.0,0.8041253685951233,0.0,0.0,0.0,0.030732366258729167,0.02035067816617651,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.030732366258729167,0.0,0.0,0.0,0,0.0,0.0
2016-01-04,2.7699999809265137,-0.034843173735210176,0.789730966091156,-0.017900694426685626,-0.01694247930852455,0.01694247930852455,0.03070813707092479,0.020396804409674583,0,0,0.0,10,0.14647097549784469,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03070813707092479,0.0,0.0,0.0,0,0.0,0.0
