index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-11-06,140.4499969482422,0.004290245395359271,16.82935333251953,-0.00531319390356344,0.009603439298922711,0.009603439298922711,0.0073369625235870034,0.012760124342530089,1,0,-1.0,10,0.1483949856837093,-12.0,10.0,1685.3999633789062,-168.2935333251953,-20.39996337890625,-2.786884307861328,Closed,1685.3999633789062,-168.2935333251953,-23.186847686767578,0.012760124342530089,1853.6934967041016,-23.186847686767578,-0.012508458236485259,0,0.0,0.0
2019-11-07,138.27000427246094,-0.015521486102876958,17.08107566833496,0.014957338576344625,-0.030478824679221583,0.030478824679221583,0.007437360641748916,0.012810176614427087,0,1,1.0,10,0.11904420647905369,2.0,-10.0,-276.5400085449219,170.8107566833496,0.0,0.0,Opened,-276.5400085449219,170.8107566833496,0.0,0.012810176614427087,447.3507652282715,0.0,0.0,0,0.0,447.3507652282715
2019-11-08,137.38999938964844,-0.006364394703267995,17.036123275756836,-0.002631707361466562,-0.003732687341801433,0.003732687341801433,0.007456047348862093,0.012811519966735694,0,1,0.0,10,0.051273875212016595,-2.0,10.0,274.7799987792969,-170.36123275756836,-1.760009765625,0.44952392578125,Live,0.0,0.0,0.0,0.012811519966735694,445.14123153686523,-1.31048583984375,-0.002943977656976985,0,0.0,0.0
2019-11-09,137.38999938964844,0.0,17.036123275756836,0.0,0.0,0.0,0.007422149344471246,0.012439565054098349,1,0,-1.0,10,,-2.0,10.0,274.7799987792969,-170.36123275756836,-1.760009765625,0.44952392578125,Closed,274.7799987792969,-170.36123275756836,-1.31048583984375,0.012439565054098349,445.14123153686523,-1.31048583984375,-0.002943977656976985,0,-1.31048583984375,0.0
2019-11-10,137.38999938964844,0.0,17.036123275756836,0.0,0.0,0.0,0.007420193287903601,0.012388243904816928,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012388243904816928,0.0,0.0,0.0,0,0.0,0.0
2019-11-11,137.05999755859375,-0.002401934875323586,16.77541160583496,-0.015303462278468016,0.01290152740314443,0.01290152740314443,0.007423153178818765,0.012439984264927253,1,1,1.0,10,0.7798138325363232,-8.0,10.0,1096.47998046875,-167.7541160583496,0.0,0.0,Opened,1096.47998046875,-167.7541160583496,0.0,0.012439984264927253,1264.2340965270996,0.0,0.0,0,0.0,1264.2340965270996
2019-11-12,137.42999267578125,0.0026995120660886496,16.559654235839844,-0.012861524656722634,0.015561036722811283,0.015561036722811283,0.007401319149722792,0.012473090376025744,1,1,0.0,10,0.5740859560947761,8.0,-10.0,-1099.43994140625,165.59654235839844,-2.9599609375,-2.157573699951172,Live,0.0,0.0,0.0,0.012473090376025744,1265.0364837646484,-5.117534637451172,-0.004045365254780474,0,0.0,0.0
2019-11-13,137.97999572753906,0.004002059820052306,16.33489990234375,-0.013572404972663099,0.017574464792715405,0.017574464792715405,0.007382226960544294,0.012461754896129442,1,1,0.0,10,0.401488938183216,8.0,-10.0,-1103.8399658203125,163.3489990234375,-7.3599853515625,-4.405117034912109,Live,0.0,0.0,0.0,0.012461754896129442,1267.18896484375,-11.76510238647461,-0.009284410386201002,0,0.0,0.0
2019-11-14,138.55999755859375,0.004203521155341949,16.227020263671875,-0.006604242408390637,0.010807763563732586,0.010807763563732586,0.007386415574700717,0.01247092934055074,1,1,0.0,10,0.18399697355746042,8.0,-10.0,-1108.47998046875,162.27020263671875,-12.0,-5.483913421630859,Live,0.0,0.0,0.0,0.01247092934055074,1270.7501831054688,-17.48391342163086,-0.013758733741752089,1,-17.48391342163086,0.0
2019-11-15,138.2100067138672,-0.0025259154943226836,16.44278335571289,0.013296531866916705,-0.01582244736123939,0.01582244736123939,0.007390335265595702,0.01251155687812168,0,0,-1.0,10,0.6262610595959796,8.0,-10.0,-1105.6800537109375,164.4278335571289,-9.2000732421875,-3.326282501220703,Closed,-1105.6800537109375,164.4278335571289,-12.526355743408203,0.01251155687812168,1270.1078872680664,-12.526355743408203,-0.00986243441913562,0,0.0,0.0
