index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-08-18,550.7612915039062,0.0,553.324951171875,0.0,0.0,0.0,0.007196918242995828,0.007179991350812486,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007196918242995828,0.0,0.0,0.0,0,0.0,0.0
2024-08-19,556.02734375,0.009561405870979645,558.466796875,0.009292633003870954,0.00026877286710869086,0.00026877286710869086,0.0074613469469998585,0.00741673662209841,1,0,0.0,5,0.9761537795100286,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0074613469469998585,0.0,0.0,0.0,0,0.0,0.0
2024-08-20,555.1232299804688,-0.001626023935142551,557.6329956054688,-0.001493018518194722,-0.00013300541694782897,0.00013300541694782897,0.004426488105999008,0.004285247376345262,0,0,0.0,5,0.9223533346572342,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004426488105999008,0.0,0.0,0.0,0,0.0,0.0
2024-08-21,557.0308837890625,0.0034364510536892823,559.8068237304688,0.0038983133030707773,-0.000461862249381495,0.000461862249381495,0.004472413073591435,0.004370660022784159,0,0,0.0,5,1.1400541785610454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004472413073591435,0.0,0.0,0.0,0,0.0,0.0
2024-08-22,552.6590576171875,-0.007848444851274228,555.0719604492188,-0.00845803066439521,0.000609585813120983,0.000609585813120983,0.006422399584668492,0.006580613100117943,1,0,0.0,5,1.0823747234054582,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006580613100117943,0.0,0.0,0.0,0,0.0,0.0
2024-08-23,558.5311889648438,0.010625233164501369,561.0675048828125,0.01080138227256433,-0.0001761491080629618,0.0001761491080629618,0.00775129991261835,0.007945999234625353,0,0,0.0,5,1.021194705114216,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007945999234625353,0.0,0.0,0.0,0,0.0,0.0
2024-08-24,558.5311889648438,0.0,561.0675048828125,0.0,0.0,0.0,0.0067959235388221914,0.007090912566610367,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007090912566610367,0.0,0.0,0.0,0,0.0,0.0
2024-08-25,558.5311889648438,0.0,561.0675048828125,0.0,0.0,0.0,0.006681728697384281,0.006993091450745771,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006993091450745771,0.0,0.0,0.0,0,0.0,0.0
2024-08-26,557.1997680664062,-0.0023837897054685975,559.479248046875,-0.002830776728495854,0.00044698702302725657,0.00044698702302725657,0.0067109095911484,0.007003105060523602,1,0,0.0,5,1.1923691533140022,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007003105060523602,0.0,0.0,0.0,0,0.0,0.0
2024-08-27,557.9649047851562,0.0013731820481641677,560.5016479492188,0.0018274134490472438,-0.0004542314008830761,0.0004542314008830761,0.00504914491197741,0.00521589782684937,0,0,0.0,5,1.336837778893864,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00521589782684937,0.0,0.0,0.0,0,0.0,0.0
