Date,GC=F_Close,GC=F_dailyReturns,GLD_Close,GLD_dailyReturns,spread,abs_sprd,GC=F_rolling avg,GLD_rolling avg,isSprdPos,signal,axe,leverage,ratio,GC=F_Size,GLD_Size,GC=F_Cashflow,GLD_Cashflow,GC=F_MTM,GLD_MTM,Live Trades,GC=F_PnL,GLD_PnL,Total PnL,Gross Capital
2024-05-01,2299.89990234375,0.0037095227207202264,213.7899932861328,0.00906215232545482,-0.005352629604734593,0.005352629604734593,0.011756427699949185,0.01147899712162845,0,0,0.0,5,0.227086732467144,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-02,2299.199951171875,-0.00030433984155642246,213.1300048828125,-0.0030870874411647042,0.0027827475996082818,0.0027827475996082818,0.011572756733913133,0.010854222820506396,1,0,0.0,5,0.9402816789309199,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-03,2299.0,-8.696554285025915e-05,212.9600067138672,-0.0007976266365629092,0.0007106610937126501,0.0007106610937126501,0.01138603882193063,0.01045843313700096,1,0,0.0,5,0.8495941572153802,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-06,2321.60009765625,0.009830403504240914,215.1999969482422,0.010518361024399514,-0.0006879575201585997,0.0006879575201585997,0.012460826451465342,0.01221489114669112,0,0,0.0,5,0.09918170643485609,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-07,2315.199951171875,-0.002756782484130804,214.2100067138672,-0.004600326433150892,0.0018435439490200878,0.0018435439490200878,0.004911704551276895,0.007061620570335836,1,0,0.0,5,0.15439648154850044,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-08,2313.60009765625,-0.0006910217473075075,213.5800018310547,-0.002941061869504713,0.0022500401221972055,0.0022500401221972055,0.004940527781260584,0.006132908875449861,1,0,0.0,5,0.3929024502456841,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-09,2332.10009765625,0.007996196066356154,216.9499969482422,0.015778607960932778,-0.007782411894576624,0.007782411894576624,0.005652646029254294,0.00902152733165381,0,0,0.0,5,0.18356831119599099,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-10,2367.300048828125,0.01509367081080737,218.7100067138672,0.008112513438038427,0.0069811573727689424,0.0069811573727689424,0.007462355386550264,0.00881542985314176,1,0,0.0,5,0.04965647676251348,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-13,2336.10009765625,-0.013179550765995973,216.25999450683594,-0.011202103844459854,-0.001977446921536119,0.001977446921536119,0.010784052545669318,0.010779351845520634,0,0,0.0,5,0.07868351034469996,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-14,2353.39990234375,0.007405420985537647,218.08999633789062,0.008462045119477013,-0.0010566241339393656,0.0010566241339393656,0.010787726213256051,0.010655980722975331,0,0,0.0,5,0.10589259672039214,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
