Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,,2330.TW_MTM,2454.TW_MTM,MTM,,,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,Gross Capital
16/8/2024,969,0.02757158,1230,0.064935065,-0.037363485,0.037363485,0.012335119,0.037868391,3.79%,0,0,0,5,2.989502757,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
19/8/2024,973,0.004127967,1255,0.020325203,-0.016197236,0.016197236,0.012425032,0.035189824,3.52%,0,0,0,5,6.350816559,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
20/8/2024,973,0,1250,-0.003984064,0.003984064,0.003984064,0.012560161,0.03372441,3.37%,1,0,0,5,inf,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
21/8/2024,958,-0.015416238,1220,-0.024,0.008583762,0.008583762,0.015956743,0.037610461,3.76%,1,0,0,5,1.982563674,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
22/8/2024,951,-0.007306889,1230,0.008196721,-0.015503611,0.015503611,0.016218569,0.033284361,3.33%,0,0,0,5,1.450882468,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
23/8/2024,949,-0.002103049,1225,-0.004065041,0.001961991,0.001961991,0.007530451,0.016478844,1.65%,1,0,0,5,2.495084685,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
26/8/2024,950,0.001053741,1215,-0.008163265,0.009217006,0.009217006,0.006774188,0.011589026,1.16%,1,0,0,5,9.90792696,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
27/8/2024,942,-0.008421053,1210,-0.004115226,-0.004305826,0.004305826,0.006328788,0.011582328,1.16%,0,0,0,5,0.627713996,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
28/8/2024,964,0.023354565,1200,-0.008264463,0.031619028,0.031619028,0.012909506,0.006740181,1.29%,1,1,1,5,0.440501167,-3,5,2892,-6000,8892,0,0,0,0.00%,FALSE,Opened,2892,-6000,0,8892
29/8/2024,943,-0.021784232,1250,0.041666667,-0.063450899,0.063450899,0.016461726,0.021484363,2.15%,0,0,-1,5,2.535390261,3,-5,-2829,6250,9079,63,250,313,3.45%,FALSE,Closed,-2829,6250,313,0
